439       2000    2380   29.5    16.3     5.6    33.3    17.7    20.9    12.8    7.37
443       1960    122    56.0    28.9    12.6    10.3     4.8     4.9     3.3    2.59
443       1965    194    49.3    39.2    14.6     8.1     4.0     3.4     2.3    2.41
443       1970    285    50.4    30.9     6.3    14.1     7.5     4.6     3.1    2.88
443       1975    382    67.3     8.8     2.5    17.3    10.2     6.6     4.4    3.03
443       1980    574    58.0     7.6     2.5    24.4    14.8    10.1     6.7    4.29
443       1985    785    50.3     7.2     2.4    29.7    19.0    12.7     8.5    5.28
443       1990    989    43.0     8.3     2.8    35.1    21.8    13.6     9.1    5.99
443       1995    638    36.4    10.3     3.5    39.4    24.5    13.9     9.3    6.54
443       2000    814    31.1    12.1     4.1    41.1    25.6    15.8    10.5    7.05
672       1965    624    84.0    14.5     1.3     1.3     0.4     0.2     0.1    0.63
672       1975    864    72.7    22.3     3.5     4.0     2.1     1.0     0.7    1.35
672       1985    1347   59.7    23.9     8.5    13.7     8.5     2.7     1.8    2.87
181       1960    156    22.0    58.0    21.6    17.6     8.6     2.4     1.6    5.64
181       1965    156    22.9    58.2    11.7    16.6     8.1     2.4     1.6    5.13
181       1970    168    23.4    57.4    16.6    16.4     8.0     2.8     1.8    5.34
181       1975    192    23.5    56.2    18.1    17.0     8.3     3.2     2.2    5.50
181       1980    216    23.1    52.2    17.5    21.2    10.3     3.5     2.3    5.84
181       1985    210    21.6    46.9    16.0    28.1    13.7     3.4     2.3    6.46
181       1990    221    19.8    44.6    15.3    31.9    15.5     3.7     2.5    6.77
181       1995    231    18.0    42.5    14.6    34.9    17.0     4.7     3.1    7.12
181       2000    242    17.2    38.6    13.2    37.7    18.4     6.5     4.3    7.57
463       1960    1709   76.5    21.3     3.0     1.8     0.9     0.5     0.3    0.99
463       1965    1805   72.6    23.7     6.3     2.7     1.3     1.1     0.7    1.34
463       1970    2122   68.6    25.9     8.1     4.3     2.1     1.3     0.9    1.67
463       1975    2402   63.6    27.5     9.1     6.2     3.0     2.7     1.8    2.17
463       1980    2795   56.6    29.7    10.1     9.0     4.4     4.7     3.1    2.86
463       1985    3231   50.9    30.5    10.4    11.1     5.4     7.5     5.0    3.54
463       1990    3933   41.9    34.3    11.8    13.9     6.8     9.8     6.6    4.35
463       1995    4813   33.6    36.0    12.3    18.7     9.1    11.8     7.9    5.21
463       2000    5854   26.8    39.7    13.6    20.4     9.9    13.1     8.8    5.74
744       1960    1706   92.1     5.1     1.7     2.1     0.9     0.7     0.6    0.54
744       1965    1797   89.1     7.1     2.4     3.0     1.4     0.7     0.6    0.71
744       1970    1851   85.8     9.5     3.2     3.8     1.8     0.9     0.8    0.91
744       1975    2034   82.7     9.7     3.2     6.4     3.2     1.2     1.1    1.25
744       1980    2369   72.1    17.2     5.8     8.9     4.8     1.8     1.6    1.92
744       1985    2845   66.3    18.9     6.3    12.0     6.6     2.8     2.5    2.48
744       1990    3381   56.8    26.5     8.9    13.3     7.5     3.4     3.0    3.02
744       1995    3994   49.2    31.0    10.4    15.4     8.7     4.4     3.9    3.58
744       2000    4639   41.2    35.7    11.9    17.2     9.6     5.9     5.3    4.20
466       1975    260    72.2     5.2     1.7    16.7     8.1     6.0     4.0    2.88
638       1960    939      .       .       .      1.8     0.5     0.3     0.2      .
638       1965    970      .       .       .      1.7     0.5     0.2     0.2      .
638       1970    1031   96.4     1.7     0.4     1.7     0.5     0.2     0.2    0.29
638       1975    1124   93.0     5.0     1.2     1.9     0.6     0.2     0.1    0.45
638       1980    1245   89.2     8.3     1.9     2.2     0.8     0.3     0.2    0.65
638       1985    1404   85.4    11.1     2.6     2.9     0.8     0.6     0.4    0.89
638       1990    1605   78.5    10.8     2.5     8.2     1.8     1.3     1.0    1.56
638       1995    1847   72.4    17.2     4.0     8.8     2.0     1.6     1.2    1.95
638       2000    2128   68.3    21.9     5.1     8.0     1.8     1.8     1.4    2.10
616       1960    157    71.4    25.4     6.4     3.0     0.7     0.3     0.2    1.46
616       1965    174    72.7    24.6     5.1     2.4     0.6     0.2     0.2    1.32
616       1970    188    70.5    26.4     2.1     2.4     0.6     0.6     0.5    1.34
616       1975    227    67.7    29.3     8.3     2.5     0.8     0.5     0.4    1.66
616       1980    309    54.7    40.5     9.4     4.4     1.3     0.5     0.4    2.29
616       1985    347    50.0    42.5    18.1     6.8     2.2     0.7     0.6    2.95
