     .         1970    1971    1972    1973    1974    1975    1976    1977    1978    1979    1980    1981    1982    1983    1984    1985
    137           .       .       .       .       .       .       .       .       .     110     107     104      98      98      98      99
    674           .       .       .       .       .       .       .       .       .     192     193     205     216     218     187     178
    676           .       .       .       .       .       .       .       .       .     110     110     110     106     108     107     107
    548           .       .       .       .       .       .       .       .       .     139     133     134     142     149     155     147
    556           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    678           .       .       .       .       .       .       .       .       .     125     128     125     114     114     117     122
    181           .       .       .       .       .       .       .       .       .     108     113     123     127     123     122     118
    682           .       .       .       .       .       .       .       .       .       .     120     139     151     149     142     133
    684           .       .       .       .       .       .       .       .       .     120     120     124     118     119     115     112
    273           .       .       .       .       .       .       .       .       .     123     132     150     108      95     111     114
    921           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    686           .       .       .       .       .       .       .       .       .       .     157     143     141     132     125     116
    688           .       .       .       .       .       .       .       .       .       .     124     121     140     169     224     309
    518           .       .       .       .       .       .       .       .       .      54      49      44      45      46      47      50
    558           .       .       .       .       .       .       .       .       .     119     120     128     139     142     131     130
    138           .       .       .       .       .       .       .       .       .     113     109     101     104     103      99      97
    353           .       .       .       .       .       .       .       .       .      95      96     102     103     106     110     109
    196           .       .       .       .       .       .       .       .       .      92      91      93      95      92      85      87
    278           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    692           .       .       .       .       .       .       .       .       .     163     161     169     166     145     143     135
    694           .       .       .       .       .       .       .       .       .     337     350     388     398     471     651     691
    142           .       .       .       .       .       .       .       .       .      93      95      98     102     101     100      99
    449           .       .       .       .       .       .       .       .       .       .     148     158     170     167     159     152
    564           .       .       .       .       .       .       .       .       .       .     167     189     173     167     170     159
    283           .       .       .       .       .       .       .       .       .     125     129     134     138     139     140     141
    853           .       .       .       .       .       .       .       .       .     122     128     131     129     124     126     121
    288           .       .       .       .       .       .       .       .       .     207     202     221     193     184     181     156
    293           .       .       .       .       .       .       .       .       .      32      34      40      42      39      39      56
    566           .       .       .       .       .       .       .       .       .     146     154     159     165     139     137     150
    964           .       .       .       .       .       .       .       .       .       .     145     161     199     240     235     202
    182           .       .       .       .       .       .       .       .       .      90      92      97      96      89      91      92
    453           .       .       .       .       .       .       .       .       .       .       .       .      97      99     145     145
    968           .       .       .       .       .       .       .       .       .     125     121     158     190     178     153     188
    922           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    714           .       .       .       .       .       .       .       .       .      85      83      93     109     118     121     122
    862           .       .       .       .       .       .       .       .       .     125     133     137     141     129     124     112
    716           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    722           .       .       .       .       .       .       .       .       .     108     103      92      95      95      97     106
    718           .       .       .       .       .       .       .       .       .      95      94     106     103     104     107     107
    724           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    576           .       .       .       .       .       .       .       .       .     104     104     110     115     116     118     115
    936           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    961           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    813           .       .       .       .       .       .       .       .       .     147     156     166     171     155     157     143
    726           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    199           .       .       .       .       .       .       .       .       .     123     134     141     134     147     130      99
    184           .       .       .       .       .       .       .       .       .       .      89      84      83      73      75      77
    524           .       .       .       .       .       .       .       .       .     101     107     108     115     117     130     124
    362           .       .       .       .       .       .       .       .       .     100     102     112     115     116     122     120
    364           .       .       .       .       .       .       .       .       .     102     101     107     111     115     116     115
    732           .       .       .       .       .       .       .       .       .       .      45      48      39      38      48      45
    366           .       .       .       .       .       .       .       .       .     254     254     276     296     262     205     181
    734           .       .       .       .       .       .       .       .       .     105     112     117     111     114     110     103
    144           .       .       .       .       .       .       .       .       .     103     106     106      95      86      90      92
    146           .       .       .       .       .       .       .       .       .      98      90      89      94      96      93      91
    463           .       .       .       .       .       .       .       .       .       .     119     150     177     192     219     253
    923           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    738           .       .       .       .       .       .       .       .       .     212     239     310     367     411     425     494
    578           .       .       .       .       .       .       .       .       .     116     126     129     133     137     135     120
    742           .       .       .       .       .       .       .       .       .     130     126     125     120     119     107     102
    866           .       .       .       .       .       .       .       .       .      77      85      98      98      98     100      94
    369           .       .       .       .       .       .       .       .       .      96      98     108     120     137     158     165
    744           .       .       .       .       .       .       .       .       .     153     151     150     148     146     146     145
    186           .       .       .       .       .       .       .       .       .       .     123     122     111     107     101     102
    925           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    746           .       .       .       .       .       .       .       .       .     666     911     648     225     177     121     158
    926           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    466           .       .       .       .       .       .       .       .       .       .     103     114     126     128     135     138
    112           .       .       .       .       .       .       .       .       .      92     108     111     107      98      94      96
    111           .       .       .       .       .       .       .       .       .     100     100     110     123     129     137     142
    298           .       .       .       .       .       .       .       .       .     159     169     191     199     124     121     117
    927           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    846           .       .       .       .       .       .       .       .       .     121     121     119     120     121     131     125
    299           .       .       .       .       .       .       .       .       .     215     221     248     268     244     207     199
    582           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    188           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    754           .       .       .       .       .       .       .       .       .       .     135     138     154     143     123     118
    698           .       .       .       .       .       .       .       .       .     156     153     164     170     156     162     143

